q2;qualifyId
1:25.187;1
1:25.315;2
1:25.452;3
1:25.691;4
1:25.518;5
1:26.101;6
1:26.059;7
1:26.063;8
1:26.164;9
1:25.842;10
1:26.173;11
1:26.188;12
1:26.259;13
1:26.413;14
1:34.412;23
1:34.188;24
1:34.759;25
1:34.627;26
1:34.960;27
1:34.811;28
1:34.648;29
1:34.967;30
1:35.140;31
1:35.000;32
1:35.208;33
1:35.408;34
1:35.562;35
1:35.622;36
1:35.648;37
1:35.670;38
1:31.745;45
1:31.188;46
1:31.922;47
1:31.933;48
1:31.718;49
1:31.909;50
1:32.159;51
1:32.185;52
1:32.362;53
1:32.345;54
1:32.371;55
1:32.508;56
1:32.528;57
1:32.790;58
1:32.915;59
1:32.943;60
1:20.784;67
1:20.804;68
1:20.584;69
1:20.597;70
1:20.825;71
1:20.817;72
1:20.984;73
1:20.907;74
1:20.815;75
1:20.894;76
1:21.049;77
1:21.117;78
1:21.211;79
1:21.230;80
1:21.349;81
1:21.724;82
1:26.192;89
1:26.290;90
1:26.477;91
1:26.050;92
1:26.129;93
1:26.466;94
1:26.522;95
1:26.822;96
1:27.607;97
1:26.520;98
1:27.012;99
1:27.219;100
1:27.298;101
1:27.412;102
1:27.806;103
1:15.110;109
1:15.404;110
1:15.322;111
1:15.389;112
1:15.483;113
1:15.287;114
1:15.827;115
1:15.598;116
1:15.745;117
1:15.839;118
1:15.907;119
1:16.101;120
1:16.455;121
1:16.479;122
1:16.537;123
1:17.034;129
1:17.679;130
1:17.364;131
1:17.488;132
1:17.891;133
1:17.353;134
1:17.684;135
1:17.781;136
1:18.020;137
1:17.523;138
1:18.031;139
1:18.062;140
1:18.238;141
1:18.327;142
1:18.393;143
1:15.161;149
1:15.041;150
1:15.293;151
1:15.483;152
1:15.362;153
1:15.639;154
1:15.723;155
1:15.488;156
1:15.654;157
1:15.558;158
1:15.770;159
1:15.786;160
1:15.816;161
1:16.045;162
1:16.235;163
1:19.597;169
1:19.710;170
1:19.971;171
1:19.537;172
1:19.802;173
1:19.992;174
1:20.115;175
1:20.109;176
1:20.086;177
1:19.788;178
1:20.174;179
1:20.274;180
1:20.531;181
1:20.601;182
1:21.112;183
1:14.603;189
1:14.747;190
1:14.855;191
1:15.122;192
1:14.943;193
1:14.949;194
1:15.109;195
1:15.481;196
1:15.420;197
1:15.338;198
1:15.508;199
1:15.581;200
1:15.633;201
1:15.701;202
1:15.858;203
1:19.473;209
1:19.480;210
1:19.068;211
1:19.776;212
1:19.246;213
1:19.546;214
1:19.816;215
1:20.046;216
1:19.486;217
1:20.131;218
1:20.144;219
1:20.332;220
1:20.502;221
1:20.963;222
1:37.859;229
1:37.954;230
1:38.050;231
1:38.229;232
1:38.120;233
1:37.842;234
1:37.928;235
1:37.859;236
1:38.336;237
1:38.417;238
1:38.428;239
1:38.435;240
1:38.499;241
1:38.515;242
1:38.744;243
1:46.088;249
1:46.391;250
1:46.037;251
1:46.298;252
1:46.311;253
1:46.491;254
1:46.814;255
1:46.494;256
1:46.544;257
1:46.804;258
1:46.949;259
1:46.965;260
1:46.995;261
1:47.018;262
1:47.429;263
1:35.837;269
1:35.843;270
1:36.306;271
1:36.175;272
1:35.898;273
1:36.676;274
1:36.008;275
1:36.518;276
1:36.525;277
1:36.626;278
1:36.697;279
1:36.698;280
1:37.284;281
1:37.522;282
1:39.265;283
1:44.014;289
1:44.932;290
1:44.232;291
1:44.519;292
1:44.207;293
1:44.520;294
1:44.261;295
1:44.441;296
1:44.429;297
1:44.826;298
1:45.038;299
1:45.133;300
1:45.212;301
1:45.298;302
1:17.462;309
1:17.733;310
1:17.360;311
1:17.871;312
1:17.287;313
1:17.931;314
1:17.541;315
1:17.670;316
1:17.714;317
1:18.102;318
1:18.187;319
1:18.274;320
1:18.354;321
1:18.594;322
1:18.672;323
1:34.947;329
1:35.355;330
1:35.135;331
1:35.461;332
1:35.216;333
1:35.686;334
1:35.403;335
1:35.386;336
1:35.715;337
1:35.478;338
1:35.722;339
1:35.814;340
1:35.937;341
1:36.079;342
1:36.210;343
1:11.875;349
1:12.107;350
1:11.950;351
1:11.856;352
1:11.768;353
1:12.090;354
1:11.845;355
1:12.026;356
1:12.075;357
1:11.909;358
1:12.137;359
1:12.289;360
1:12.300;361
1:12.717;362
1:13.139;363
1:25.644;369
1:25.326;370
1:25.358;371
1:25.577;372
1:25.882;373
1:25.944;374
1:26.623;375
1:26.688;376
1:26.739;377
1:26.758;378
1:26.909;379
1:26.914;380
1:26.964;381
1:27.264;382
1:27.393;383
1:34.454;391
1:34.057;392
1:34.687;393
1:34.650;394
1:35.203;395
1:35.380;396
1:34.739;397
1:35.255;398
1:35.595;399
1:35.579;400
1:35.630;401
1:35.706;402
1:35.766;403
1:35.945;404
1:36.088;405
1:36.145;406
1:31.359;413
1:31.752;414
1:31.812;415
1:32.214;416
1:32.154;417
1:32.292;418
1:32.889;419
1:32.808;420
1:32.429;421
1:32.815;422
1:32.915;423
1:32.935;424
1:33.082;425
1:33.294;426
1:33.624;427
1:33.731;428
1:20.597;435
1:20.797;436
1:20.741;437
1:20.713;438
1:21.381;439
1:21.554;440
1:21.113;441
1:21.623;442
1:21.488;443
1:21.677;444
1:21.968;445
1:22.097;446
1:22.115;447
1:22.120;448
1:15.431;457
1:15.479;458
1:16.034;459
1:16.054;460
1:16.100;461
1:16.420;462
1:15.733;463
1:15.576;464
1:16.454;465
1:16.457;466
1:16.662;467
1:16.703;468
1:16.319;469
1:16.988;470
1:17.125;471
1:15.486;479
1:15.522;480
1:15.960;481
1:16.592;482
1:16.138;483
1:16.257;484
1:16.190;485
1:16.368;486
1:16.288;487
1:16.600;488
1:16.743;489
1:16.760;490
1:17.116;491
1:17.304;492
1:17.541;493
1:17.571;494
1:12.065;501
1:11.926;502
1:12.180;503
1:12.111;504
1:12.188;505
1:12.599;506
1:12.644;507
1:12.828;508
1:12.788;509
1:12.603;510
1:12.873;511
1:12.920;512
1:12.998;513
1:13.060;514
1:13.201;515
1:13.259;516
1:14.822;523
1:14.795;524
1:14.828;525
1:15.066;526
1:15.227;527
1:15.272;528
1:15.149;529
1:15.379;530
1:15.331;531
1:15.084;532
1:15.534;533
1:15.584;534
1:15.761;535
1:15.806;536
1:16.049;537
1:19.400;545
1:19.252;546
1:19.152;547
1:19.421;548
1:20.054;549
1:19.860;550
1:20.077;551
1:20.042;552
1:20.178;553
1:20.133;554
1:20.235;555
1:20.329;556
1:20.350;557
1:20.364;558
1:20.515;559
1:20.823;560
1:31.237;567
1:30.983;568
1:30.912;569
1:31.652;570
1:31.444;571
1:31.661;572
1:31.783;573
1:31.859;574
1:31.843;575
1:31.185;576
1:31.978;577
1:31.996;578
1:32.010;579
1:32.221;580
1:32.451;581
1:32.838;582
1:19.661;589
1:19.301;590
1:20.322;591
1:20.107;592
1:20.188;593
1:20.455;594
1:20.703;595
1:20.590;596
1:19.951;597
1:20.439;598
1:20.718;599
1:20.779;600
1:20.865;601
1:21.021;602
1:21.127;603
1:21.993;604
1:27.039;611
1:26.936;612
