milliseconds;resultId
5690616;1
5696094;2
5698779;3
5707797;4
5708630;5
5478555;23
5498125;24
5517005;25
5524387;26
5525103;27
5528388;28
5546685;29
5548596;30
5554775;31
5564769;32
5570757;33
5466970;45
5470309;46
5471968;47
5475379;48
5493759;49
5508284;50
5512443;51
5522859;52
5536470;53
5544151;54
5544832;55
5899051;67
5902279;68
5903238;69
5904745;70
5934989;71
5952061;72
5957295;73
5958486;74
5962124;75
5209451;89
5213230;90
5213722;91
5231396;92
5248192;93
5263175;94
5273680;95
5280857;96
5284721;97
5285795;98
7242742;109
7245806;110
7247553;111
7262037;112
7267399;113
7271150;114
7272922;115
7275933;116
7276534;117
5784227;129
5800722;130
5807579;131
5826854;132
5828161;133
5832002;134
5837824;135
5838347;136
5838660;137
5838976;138
5851767;139
5855526;140
5510245;149
5528229;150
5538495;151
5539174;152
5540757;153
5550549;154
5551278;155
5553617;156
5561266;157
5564783;158
5567945;159
5568310;160
5572324;161
5949440;169
6018017;170
6031713;171
5480874;189
5486460;190
5490213;191
5490699;192
5493285;193
5495277;194
5503556;195
5514173;196
5518032;197
5518499;198
5519474;199
5519985;200
5535845;201
5540877;202
5550362;203
5564967;204
5847067;209
5858128;210
5863923;211
5868681;212
5870115;213
5879365;214
5883516;215
5895388;216
5905901;217
5914776;218
5917474;219
5732339;229
5737950;230
5769692;231
5772042;232
5783023;233
5784964;234
5800329;235
5803796;236
5814516;237
5822133;238
5825056;239
4979394;249
4988777;250
4989933;251
4993872;252
4993970;253
4994431;254
4996129;255
5022170;256
5046439;257
5207494;269
5220006;270
5227965;271
5231397;272
5235242;273
5236310;274
5237406;275
5239542;276
5246962;277
5261939;278
5266382;279
5269509;280
5273448;281
5276129;282
5280864;283
7036304;289
7039261;290
7042221;291
7044459;292
7046572;293
7047405;294
7052691;295
7054793;296
7056189;297
7063206;298
7064279;299
7065736;300
7071474;301
7079875;302
5421892;309
5427175;310
5428292;311
5442462;312
5445659;313
5461099;314
5468050;315
5472703;316
5476012;317
5480977;318
5483988;319
5500792;320
5517403;329
5532328;330
5533848;331
5535773;332
5546326;333
5550622;334
5559125;335
5574048;336
5581742;337
5592245;338
5602464;339
5608250;340
5608860;341
5609825;342
5651435;349
5664733;350
5667670;351
5689446;352
5690342;353
5695803;354
5706509;355
5719868;356
5731101;357
5128770;369
5136012;370
5147365;371
5167533;372
5195239;373
5195575;374
5534930;391
5552487;392
5553269;393
5568707;394
5571635;395
5600568;396
5605062;397
5606945;398
5624854;399
5628486;400
5607515;413
5609875;414
5618354;415
5621346;416
5621941;417
5653044;418
5688886;419
5689216;420
5696926;421
5697431;422
5496230;435
5503020;436
5513686;437
5527845;438
5554561;439
5555768;440
5558358;441
6029329;457
6033424;458
6098443;459
6251292;479
6255635;480
6256617;481
6258021;482
6264299;483
6267990;484
6273228;485
6274180;486
6274252;487
6275276;488
6275610;489
6281731;490
5469965;501
5471465;502
5482765;503
5485365;504
5511365;505
5536665;506
5537265;507
5537665;508
5454200;523
5456614;524
5486353;525
5495927;526
5503001;527
5506140;528
5510716;529
5513085;530
5522705;531
4903074;545
4905533;546
4942447;547
4956393;548
4957137;549
4959410;550
7586358;567
7594513;568
7652032;569
7652295;570
7660014;571
7666656;572
7668773;573
