resultId;number;grid;position;positionText;positionOrder;points;laps;fastestLap;rank;fastestLapTime;fastestLapSpeed;raceId;driverId;constructorId;statusId
1;22;1;1;1;1;10.0;58;39;2;1:27.452;218.300;18;1;1;1
2;3;5;2;2;2;8.0;58;41;3;1:27.739;217.586;18;2;2;1
3;7;7;3;3;3;6.0;58;41;5;1:28.090;216.719;18;3;3;1
4;5;11;4;4;4;5.0;58;58;7;1:28.603;215.464;18;4;4;1
5;23;3;5;5;5;4.0;58;43;1;1:27.418;218.385;18;5;1;1
6;8;13;6;6;6;3.0;57;50;14;1:29.639;212.974;18;6;3;11
7;14;17;7;7;7;2.0;55;22;12;1:29.534;213.224;18;7;5;5
8;1;15;8;8;8;1.0;53;20;4;1:27.903;217.180;18;8;6;5
9;4;2;0;R;9;0.0;47;15;9;1:28.753;215.100;18;9;2;4
10;12;18;0;R;10;0.0;43;23;13;1:29.558;213.166;18;10;7;3
11;18;19;0;R;11;0.0;32;24;15;1:30.892;210.038;18;11;8;7
12;6;20;0;R;12;0.0;30;20;16;1:31.384;208.907;18;12;4;8
13;2;4;0;R;13;0.0;29;23;6;1:28.175;216.510;18;13;6;5
14;9;8;0;R;14;0.0;25;21;11;1:29.502;213.300;18;14;9;4
15;11;6;0;R;15;0.0;19;18;10;1:29.310;213.758;18;15;7;10
16;20;22;0;R;16;0.0;8;8;17;1:32.021;207.461;18;16;10;9
17;10;14;0;R;17;0.0;0;\N;\N;\N;\N;18;17;9;4
18;16;12;0;R;18;0.0;0;\N;\N;\N;\N;18;18;11;4
19;19;21;0;R;19;0.0;0;\N;\N;\N;\N;18;19;8;4
20;15;9;0;R;20;0.0;0;\N;\N;\N;\N;18;20;5;4
21;21;16;0;R;21;0.0;0;\N;\N;\N;\N;18;21;10;4
22;17;10;0;D;22;0.0;58;44;8;1:28.736;215.141;18;22;11;2
23;1;2;1;1;1;10.0;56;37;2;1:35.405;209.158;19;8;6;1
24;4;4;2;2;2;8.0;56;39;6;1:35.921;208.033;19;9;2;1
25;23;8;3;3;3;6.0;56;19;7;1:35.922;208.031;19;5;1;1
26;11;3;4;4;4;5.0;56;53;8;1:36.068;207.715;19;15;7;1
27;22;9;5;5;5;4.0;56;53;3;1:35.462;209.033;19;1;1;1
28;3;5;6;6;6;3.0;56;55;1;1:35.366;209.244;19;2;2;1
29;10;6;7;7;7;2.0;56;53;12;1:36.696;206.366;19;17;9;1
30;5;7;8;8;8;1.0;56;40;10;1:36.288;207.240;19;4;4;1
31;9;12;9;9;9;0.0;56;55;9;1:36.206;207.417;19;14;9;1
32;16;11;10;10;10;0.0;56;56;4;1:35.715;208.481;19;18;11;1
33;6;13;11;11;11;0.0;56;52;15;1:36.956;205.812;19;12;4;1
34;21;17;12;12;12;0.0;55;52;16;1:36.962;205.800;19;21;10;11
35;17;14;13;13;13;0.0;55;55;11;1:36.693;206.372;19;22;11;11
36;7;16;14;14;14;0.0;55;55;13;1:36.782;206.182;19;3;3;11
37;19;21;15;15;15;0.0;55;55;18;1:38.171;203.265;19;19;8;11
38;18;19;16;16;16;0.0;54;53;19;1:38.504;202.578;19;11;8;12
39;8;22;17;17;17;0.0;54;19;17;1:37.711;204.222;19;6;3;12
40;15;15;0;R;18;0.0;39;37;14;1:36.870;205.995;19;20;5;5
41;2;1;0;R;19;0.0;30;15;5;1:35.914;208.048;19;13;6;20
42;20;20;0;R;20;0.0;5;3;20;1:40.330;198.891;19;16;10;9
43;12;10;0;R;21;0.0;1;\N;\N;\N;\N;19;10;7;4
44;14;18;0;R;22;0.0;0;\N;\N;\N;\N;19;7;5;20
45;2;2;1;1;1;10.0;57;38;3;1:33.600;208.153;20;13;6;1
46;1;4;2;2;2;8.0;57;35;4;1:33.709;207.911;20;8;6;1
47;4;1;3;3;3;6.0;57;55;5;1:33.775;207.765;20;9;2;1
48;3;6;4;4;4;5.0;57;48;2;1:33.565;208.231;20;2;2;1
49;23;5;5;5;5;4.0;57;49;1;1:33.193;209.062;20;5;1;1
50;11;7;6;6;6;3.0;57;45;7;1:34.204;206.819;20;15;7;1
51;10;11;7;7;7;2.0;57;51;8;1:34.305;206.597;20;17;9;1
52;7;8;8;8;8;1.0;57;57;6;1:34.072;207.109;20;3;3;1
53;12;13;9;9;9;0.0;57;56;9;1:34.807;205.503;20;10;7;1
54;5;10;10;10;10;0.0;57;35;13;1:35.194;204.668;20;4;4;1
55;17;12;11;11;11;0.0;57;40;10;1:34.855;205.399;20;22;11;1
56;21;18;12;12;12;0.0;56;56;11;1:35.057;204.963;20;21;10;11
57;22;3;13;13;13;0.0;56;25;19;1:35.520;203.969;20;1;1;11
58;8;16;14;14;14;0.0;56;30;17;1:35.433;204.155;20;6;3;11
59;14;15;15;15;15;0.0;56;33;15;1:35.333;204.369;20;7;5;11
60;19;21;16;16;16;0.0;56;45;14;1:35.324;204.389;20;19;8;11
61;18;22;17;17;17;0.0;56;56;20;1:35.891;203.180;20;11;8;11
62;9;17;18;18;18;0.0;56;43;16;1:35.351;204.331;20;14;9;11
63;20;20;19;19;19;0.0;56;55;18;1:35.442;204.136;20;16;10;12
64;6;14;0;R;20;0.0;40;31;12;1:35.129;204.808;20;12;4;6
65;16;9;0;R;21;0.0;19;11;21;1:36.125;202.686;20;18;11;4
66;15;19;0;R;22;0.0;0;\N;\N;\N;\N;20;20;5;5
67;1;1;1;1;1;10.0;66;46;1;1:21.670;205.191;21;8;6;1
68;2;3;2;2;2;8.0;66;45;2;1:21.801;204.863;21;13;6;1
69;22;5;3;3;3;6.0;66;20;3;1:22.017;204.323;21;1;1;1
70;4;4;4;4;4;5.0;66;20;4;1:22.106;204.102;21;9;2;1
71;10;7;5;5;5;4.0;66;19;8;1:22.564;202.969;21;17;9;1
72;16;13;6;6;6;3.0;66;66;5;1:22.353;203.489;21;18;11;1
73;8;12;7;7;7;2.0;66;48;15;1:23.549;200.576;21;6;3;1
74;11;8;8;8;8;1.0;66;45;10;1:22.758;202.494;21;15;7;1
75;3;9;9;9;9;0.0;66;21;7;1:22.519;203.080;21;2;2;1
76;21;19;10;10;10;0.0;65;40;14;1:23.439;200.841;21;21;10;11
77;12;14;11;11;11;0.0;65;57;12;1:23.007;201.886;21;10;7;11
