milliseconds;resultId
1538426;1
1539856;2
1545928;3
1549704;4
1562537;5
1569385;6
1581953;7
1582865;8
1585078;9
1585821;10
1586224;11
1587189;12
1589103;13
1590605;14
1591651;15
1591993;16
1593588;17
1606639;18
1616074;19
1674078;21
1676403;22
1688612;23
1692913;24
1694089;25
1697520;26
1702030;27
1705167;28
1705758;29
1712749;30
1713873;31
1715255;32
1717451;33
1720055;34
1720899;35
1724055;36
1736677;37
1739174;38
1740232;39
1749559;41
1750729;42
1768282;43
1769346;44
1770431;45
1772117;46
1774615;47
1783717;48
1784191;49
1784426;50
1785428;51
1786137;52
1791439;53
1793596;54
1795709;55
1796319;56
1797298;57
1799573;58
1811239;59
1817033;60
1839567;61
1842542;62
1844288;63
1857145;64
1864128;65
1867307;66
1867700;67
1870279;68
1871845;69
1873340;70
1875851;71
1877865;72
1879744;73
1881026;74
1882477;75
1883084;76
1883361;77
1888438;78
1891584;79
1590059;81
1591734;82
1595703;83
1603488;84
1608361;85
1621091;86
1624598;87
1625506;88
1627222;89
1627616;90
1628639;91
1629797;92
1638300;93
1640812;94
1642184;95
1642471;96
1644615;97
1658753;98
1811307;101
1815302;102
1815799;103
1821801;104
1823162;105
1824440;106
1836931;107
1840075;108
1841525;109
1845477;110
1850702;111
1852466;112
1853070;113
1853645;114
1861613;115
1862007;116
1863063;117
1865292;118
1888157;119
1997667;121
2002130;122
2002732;123
2001134;124
2008055;125
2009280;126
2002557;127
2016084;128
2019424;129
2020518;130
2025657;131
2032269;132
2034585;133
2039293;134
2046254;135
2047584;136
2048771;137
2058288;138
1826730;141
1847778;142
1849818;143
1856433;144
1856839;145
1858027;146
1863332;147
1863341;148
1865338;149
1873105;150
1876537;151
1877519;152
1879578;153
1883323;154
1884382;155
1891552;156
1892347;157
1892789;158
1897555;159
1903165;160
1498433;161
1505110;162
1509166;163
1511081;164
1513449;165
1514485;166
1515190;167
1515255;168
1520843;169
1521239;170
1523440;171
1524736;172
1525439;173
1531419;174
1534775;175
1536004;176
1536260;177
1537700;178
