resultId;number;grid;position;positionText;positionOrder;points;laps;milliseconds;fastestLap;fastestLapTime;raceId;driverId;constructorId;statusId
1;33;2;1;1;1;3;17;1538426;14;1:30.013;1061;830;9;1
2;44;1;2;2;2;2;17;1539856;17;1:29.937;1061;1;131;1
3;77;3;3;3;3;1;17;1545928;17;1:29.958;1061;822;131;1
4;16;4;4;4;4;0;17;1549704;16;1:30.163;1061;844;6;1
5;4;6;5;5;5;0;17;1562537;16;1:30.566;1061;846;1;1
6;3;7;6;6;6;0;17;1569385;17;1:30.640;1061;817;1;1
7;14;11;7;7;7;0;17;1581953;17;1:31.773;1061;4;214;1
8;5;10;8;8;8;0;17;1582865;17;1:31.687;1061;20;117;1
9;63;8;9;9;9;0;17;1585078;17;1:32.208;1061;847;3;1
10;31;13;10;10;10;0;17;1585821;16;1:32.183;1061;839;214;1
11;55;9;11;11;11;0;17;1586224;10;1:31.991;1061;832;6;1
12;10;12;12;12;12;0;17;1587189;17;1:32.072;1061;842;213;1
13;7;17;13;13;13;0;17;1589103;12;1:32.139;1061;8;51;1
14;18;15;14;14;14;0;17;1590605;12;1:32.210;1061;840;117;1
15;99;14;15;15;15;0;17;1591651;14;1:32.457;1061;841;51;1
16;22;16;16;16;16;0;17;1591993;14;1:32.270;1061;852;213;1
17;6;18;17;17;17;0;17;1593588;17;1:32.143;1061;849;3;1
18;47;19;18;18;18;0;17;1606639;15;1:32.567;1061;854;210;1
19;9;20;19;19;19;0;17;1616074;3;1:33.462;1061;853;210;1
20;11;5;\N;R;20;0;16;\N;6;1:31.465;1061;815;9;76
21;77;1;1;1;1;3;18;1674078;9;1:23.540;1065;822;131;1
22;33;3;2;2;2;2;18;1676403;9;1:23.502;1065;830;9;1
23;3;5;3;3;3;1;18;1688612;17;1:24.291;1065;817;1;1
24;4;4;4;4;4;0;18;1692913;9;1:24.554;1065;846;1;1
25;44;2;5;5;5;0;18;1694089;9;1:24.253;1065;1;131;1
26;16;8;6;6;6;0;18;1697520;18;1:24.677;1065;844;6;1
27;55;7;7;7;7;0;18;1702030;8;1:24.918;1065;832;6;1
28;99;10;8;8;8;0;18;1705167;10;1:25.126;1065;841;51;1
29;11;9;9;9;9;0;18;1705758;12;1:24.211;1065;815;9;1
30;18;12;10;10;10;0;18;1712749;8;1:25.349;1065;840;117;1
31;14;13;11;11;11;0;18;1713873;8;1:25.225;1065;4;214;1
32;5;11;12;12;12;0;18;1715255;8;1:25.493;1065;20;117;1
33;31;14;13;13;13;0;18;1717451;8;1:25.613;1065;839;214;1
34;6;16;14;14;14;0;18;1720055;9;1:25.711;1065;849;3;1
35;63;15;15;15;15;0;18;1720899;15;1:25.835;1065;847;3;1
36;22;17;16;16;16;0;18;1724055;18;1:25.847;1065;852;213;1
37;9;20;17;17;17;0;18;1736677;7;1:26.613;1065;853;210;1
38;88;19;18;18;18;0;18;1739174;12;1:26.772;1065;9;51;1
39;47;18;19;19;19;0;18;1740232;7;1:26.819;1065;854;210;1
40;10;6;\N;R;20;0;0;\N;\N;\N;1065;842;213;3
41;77;2;1;1;1;3;24;1749559;8;1:12.300;1071;822;131;1
42;33;1;2;2;2;2;24;1750729;9;1:12.114;1071;830;9;1
43;55;5;3;3;3;1;24;1768282;13;1:13.167;1071;832;6;1
44;11;3;4;4;4;0;24;1769346;13;1:13.110;1071;815;9;1
45;44;20;5;5;5;0;24;1770431;5;1:12.357;1071;1;131;1
46;4;7;6;6;6;0;24;1772117;8;1:12.994;1071;846;1;1
47;16;6;7;7;7;0;24;1774615;4;1:13.140;1071;844;6;1
48;10;4;8;8;8;0;24;1783717;4;1:13.342;1071;842;213;1
49;31;10;9;9;9;0;24;1784191;11;1:13.615;1071;839;214;1
50;5;11;10;10;10;0;24;1784426;5;1:13.558;1071;20;117;1
51;3;8;11;11;11;0;24;1785428;9;1:13.463;1071;817;1;1
52;14;9;12;12;12;0;24;1786137;4;1:13.397;1071;4;214;1
53;99;14;13;13;13;0;24;1791439;11;1:13.627;1071;841;51;1
54;18;15;14;14;14;0;24;1793596;9;1:13.666;1071;840;117;1
55;22;12;15;15;15;0;24;1795709;11;1:13.747;1071;852;213;1
56;6;16;16;16;16;0;24;1796319;7;1:13.934;1071;849;3;1
57;63;17;17;17;17;0;24;1797298;14;1:14.056;1071;847;3;1
58;7;13;18;18;18;0;24;1799573;9;1:13.900;1071;8;51;1
59;47;18;19;19;19;0;24;1811239;9;1:14.387;1071;854;210;1
60;9;19;20;20;20;0;24;1817033;6;1:14.583;1071;853;210;1
61;1;1;1;1;1;8;21;1839567;14;1:19.154;1077;830;9;1
62;16;2;2;2;2;7;21;1842542;11;1:19.044;1077;844;6;1
63;11;7;3;3;3;6;21;1844288;14;1:19.012;1077;815;9;1
64;55;10;4;4;4;5;21;1857145;14;1:19.251;1077;832;6;1
65;4;3;5;5;5;4;21;1864128;9;1:20.030;1077;846;1;1
66;3;6;6;6;6;3;21;1867307;12;1:20.328;1077;817;1;1
67;77;8;7;7;7;2;21;1867700;9;1:20.219;1077;822;51;1
68;20;4;8;8;8;1;21;1870279;6;1:20.557;1077;825;210;1
69;14;5;9;9;9;0;21;1871845;10;1:20.639;1077;4;214;1
70;47;12;10;10;10;0;21;1873340;15;1:20.567;1077;854;210;1
71;63;11;11;11;11;0;21;1875851;19;1:20.756;1077;847;131;1
72;22;16;12;12;12;0;21;1877865;20;1:20.909;1077;852;213;1
